,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
91,22.0,PMI,LON,2017-05-18T00:00:00,2017-05-18T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
92,27.0,PMI,LON,2017-05-18T00:00:00,2017-05-18T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
93,208.0,PMI,LON,2017-05-19T00:00:00,2017-05-19T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
94,45.0,PMI,LON,2017-05-19T00:00:00,2017-05-19T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
95,18.0,PMI,LON,2017-05-19T00:00:00,2017-05-19T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
96,112.0,PMI,LON,2017-05-19T00:00:00,2017-05-19T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
97,18.0,PMI,LON,2017-05-19T00:00:00,2017-05-19T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
98,173.0,PMI,LON,2017-05-20T00:00:00,2017-05-20T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
99,291.0,PMI,LON,2017-05-20T00:00:00,2017-05-20T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
100,18.0,PMI,LON,2017-05-20T00:00:00,2017-05-20T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
101,30.0,PMI,LON,2017-05-20T00:00:00,2017-05-20T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
102,52.0,PMI,LON,2017-05-20T00:00:00,2017-05-20T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
103,30.0,PMI,LON,2017-05-20T00:00:00,2017-05-20T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
104,102.0,PMI,LON,2017-05-21T00:00:00,2017-05-21T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
105,208.0,PMI,LON,2017-05-21T00:00:00,2017-05-21T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
106,63.0,PMI,LON,2017-05-21T00:00:00,2017-05-21T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
107,30.0,PMI,LON,2017-05-21T00:00:00,2017-05-21T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
